Date,Average Open Price (USD),Average High Price (USD),Average Low Price (USD),Average Close Price (USD)
2014-05-14,439.0496666666666,446.49333333333334,437.0463333333334,445.17333333333335
2014-05-15,441.65334,448.08567999999997,440.97000333333335,445.8590133333334
2014-05-16,445.1233333333333,449.7474533333334,444.5333333333333,447.80745333333334
2014-05-17,447.02999666666665,449.4374533333333,442.1933366666667,448.28745333333336
2014-05-18,445.10666999999995,447.99335,442.1166666666666,443.74
2014-05-19,440.83000000000004,445.0,432.595,443.655
2014-05-20,446.1116666666667,492.94665333333336,445.71166666666664,486.12583666666666
2014-05-21,487.59,492.25647000000004,484.58194333333336,488.80151333333333
2014-05-22,488.4348466666667,522.3333333333334,487.7248466666667,520.7633333333333
2014-05-23,522.33,541.6480766666666,511.55384,518.26283
2014-05-24,514.7035,521.35333,510.2019566666666,520.2466633333333
2014-05-25,522.0899966666667,582.4466666666667,521.6399966666667,571.36661
2014-05-26,571.12968,587.5628233333333,564.1522233333334,580.02663
2014-05-27,580.2233,589.8869933333334,548.90664,572.7451233333333
2014-05-28,573.0884466666666,583.82,564.0252966666667,577.8341066666667
2014-05-29,575.6405699999999,577.79057,564.2771833333333,571.9506
2014-05-30,577.6206033333333,629.00178,574.9033533333333,622.0267333333333
2014-05-31,617.9043,631.0451666666667,611.1632866666666,630.8118333333333
2014-06-01,630.9333333333333,681.3275433333333,621.7740566666666,635.48582
2014-06-02,637.2663633333333,675.2130633333333,619.58739,663.5733333333334
2014-06-03,666.1229433333334,684.2629933333334,655.6243633333333,674.81646
2014-06-04,671.8822333333334,673.4522333333334,595.62,647.7855800000001
2014-06-05,647.6189133333334,669.7933166666667,646.71224,660.58
2014-06-06,659.8233333333334,662.71,651.7375533333333,651.8542233333333
2014-06-07,649.7369333333332,659.9766666666667,639.7700266666667,659.9766666666667
2014-06-08,657.3484433333333,663.0366666666666,652.567,658.9292433333334
2014-06-09,658.81508,659.44531,643.1436966666666,648.6660033333333
2014-06-10,648.7460033333333,659.3750766666666,644.2960033333334,649.6932866666667
2014-06-11,651.9108033333333,653.1908033333333,623.3648433333333,625.1981766666667
2014-06-12,630.0514033333333,635.84075,557.0300033333334,576.7483533333334
2014-06-13,579.7699966666665,614.9586666666668,568.5060633333334,588.0912866666667
2014-06-14,586.6208566666667,592.67,542.22399,562.0436666666667
2014-06-15,568.28594,586.72059,545.2319666666667,584.9772566666667
2014-06-16,587.4446633333333,607.97059,578.72844,588.0156666666666
2014-06-17,587.66234,611.1441866666668,581.09,609.9013333333334
2014-06-18,610.3946666666667,620.6933333333333,602.3666666666667,608.1297066666667
2014-06-19,606.4666666666667,616.9279833333334,594.7916666666666,597.1102066666667
2014-06-20,595.02401,601.4913333333333,583.3393333333333,594.3076933333333
2014-06-21,592.4136133333334,598.3682633333333,584.4343333333333,594.4958
2014-06-22,593.6926666666667,609.1280466666667,592.5226666666667,601.4595499999999
2014-06-23,600.1190033333334,600.3423366666666,585.7938433333334,590.63051
2014-06-24,591.4306666666668,593.1159799999999,577.7431166666667,582.0179066666667
2014-06-25,578.0,579.9000033333333,559.984,564.2983333333333
2014-06-26,567.44767,580.7072666666667,565.8810033333333,577.9401499999999
2014-06-27,582.7796033333334,602.0599966666666,577.1166666666667,601.2875533333334
2014-06-28,599.7673566666666,606.3539999999999,593.2909366666667,593.2909366666667
2014-06-29,596.8511766666667,603.6906666666667,593.4412833333333,597.76795
2014-06-30,597.7046666666666,646.0302933333334,596.2546666666667,639.3733333333333
2014-07-01,644.9666666666667,659.5710633333333,638.688,643.0066666666667
2014-07-02,642.2766666666666,657.5101533333333,639.0,648.3265766666667
2014-07-03,648.1509266666667,653.2905366666666,639.4665,645.7111166666667
2014-07-04,648.6611166666667,651.0899966666667,622.4683366666667,632.1641766666667
2014-07-05,630.6923333333333,634.5256666666667,623.7433333333333,629.66244
2014-07-06,631.6666666666666,638.4326599999999,627.48267,630.9726700000001
2014-07-07,630.66467,636.6576666666666,614.2137366666667,624.0261966666667
2014-07-08,622.03347,626.3648400000001,614.23065,619.83901
2014-07-09,620.0101466666666,626.49212,616.7701466666667,623.3687866666667
2014-07-10,624.1894466666666,625.3461133333333,610.2909966666667,613.7809966666666
2014-07-11,614.9566666666666,629.9853666666667,612.72781,629.9853666666667
2014-07-12,630.5685466666666,637.3171933333334,627.76248,634.4938599999999
2014-07-13,631.9666666666667,639.4066666666666,624.2959500000001,627.12695
2014-07-14,627.51667,629.55682,616.9944066666667,623.2678099999999
2014-07-15,620.8356600000001,623.42566,618.0056599999999,621.26566
2014-07-16,620.9756566666666,627.6142533333333,612.3164733333333,621.04133
2014-07-17,621.538,630.04999,613.11582,624.92663
2014-07-18,625.7566633333333,629.8066633333334,616.7935133333334,628.6863333333333
2014-07-19,629.5866633333334,629.9233333333333,623.9999966666667,627.96
